Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force,Handle Position,Raw Seat Position,Converted Seat Position,Left Foot Force,Right Foot Force
0.00,0,0,0,0,0,0,157.48000000000002,24.0,0,0
0.00,27.705509531678146,112.64525409367214,0,0,0,0,171.79000000000002,27.0,0,0
0.00,27.1510003141826,108.1066119044877,0,0,0,0,186.10000000000002,30.0,0,0
0.00,26.95327161304522,110.70254498042826,0,0,0,0,200.40999999999997,33.0,0,0
0.00,27.452711877992716,112.43331929344299,0,0,0,0,214.71999999999997,36.0,0,0
0.00,25.452770956323008,112.55789920751378,0,0,0,0,229.03000000000003,39.0,0,0
0.00,26.513198306119122,111.40483380733966,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.00,25.405699966978666,106.37495792858863,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.00,23.77015522920086,111.98628452620447,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.00,25.02509168102534,119.90284321261512,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,23.65396670596188,119.99376696951367,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,22.88364728677746,123.67816054943474,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,24.709086784908653,125.68723240888302,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,24.88349938641622,128.00063331899423,0,0,0,0,343.51,63.0,0,0
0.02,25.131760685051123,131.15722254111944,0,0,0,0,357.82,66.0,0,0
0.02,25.988213191158174,133.1572500726773,0,0,0,0,372.13,69.0,0,0
0.02,24.890027198565726,133.006887521143,0,0,0,0,386.44,72.0,0,0
0.02,23.67898101661606,134.23334099367372,1,0,0,0,400.75,75.0,0,0
0.02,22.22958246046855,134.43858380548505,1,0,0,0,415.06,78.0,0,0
0.02,22.04020112512746,135.822402746217,1,0,0,0,429.37,81.0,0,0
0.03,23.0581059742801,137.00976836235,1,0,0,0,443.68,84.0,0,0
0.03,24.90181873924649,139.0204539592232,1,0,0,0,457.99,87.0,0,0
0.03,26.59270858363108,140.78497258222325,1,0,0,0,472.3,90.0,0,0
0.03,26.41717605996665,141.57698540063544,1,0,0,0,486.61,93.0,0,0
0.03,26.48701329615198,141.6271263394772,1,0,0,0,500.92,96.0,0,0
0.03,24.796633627255726,144.08255378110022,1,0,0,0,515.23,99.0,0,0
0.03,26.101660537855317,144.98636240037987,1,0,0,0,520,100.0,0,0
0.03,25.70674806278856,142.08717741859053,1,0,0,0,505.69,97.0,0,0
0.03,24.061869096947085,138.36947630687274,2,0,0,0,491.38,94.0,0,0
0.03,22.817374257998328,135.31041200299427,2,0,0,0,477.07,91.0,0,0
0.05,21.169508571925327,132.13350440347747,2,0,0,0,462.76,88.0,0,0
0.05,21.60027433900679,129.71962454888703,2,0,0,0,448.45,85.0,0,0
0.05,20.65364992084796,127.63511019745528,2,0,0,0,434.14,82.0,0,0
0.05,19.57510042212932,125.63047422000915,2,0,0,0,419.83,79.0,0,0
0.05,19.050548479298193,123.40049076964922,2,0,0,0,405.52,76.0,0,0
0.05,19.59169220664952,120.57248975825112,2,0,0,0,391.21,73.0,0,0
0.05,18,117.87346180300078,2,0,0,0,376.9,70.0,0,0
0.05,18.2354848343281,116.3475653851859,2,0,0,0,362.59000000000003,67.0,0,0
0.05,18,114.40100544877022,2,0,0,0,348.28,63.99999999999999,0,0
0.05,18,112.40642158223962,2,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,19.879257999601798,111.74012450668036,2,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,21.59877231084139,109.76395368877456,2,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,20.086502185741892,107.9622026580789,2,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,19.966022601494632,107.47683853939398,2,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,18,105.67663195010033,2,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,18,104.7643849468759,2,0,0,0,248.10999999999984,42.99999999999997,0,0
0.07,18,103.3943277542222,2,0,0,0,233.79999999999984,39.99999999999997,0,0
0.07,18,102.75982282129335,2,0,0,0,219.48999999999984,36.999999999999964,0,0
0.07,18,101.94064077194284,2,0,0,0,205.1799999999999,33.99999999999997,0,0
0.07,19.73045710951058,100.82124426355048,2,0,0,0,190.8699999999999,30.99999999999997,0,0
0.08,19.543145278334805,100.55677932632281,2,0,0,0,176.55999999999983,27.99999999999997,0,0
0.08,18.86474575583181,99.24352914838536,2,0,0,0,162.24999999999983,24.99999999999997,0,0
0.08,20.8478033490481,98.04561313583633,2,1,0,0,147.93999999999988,21.99999999999997,0,0
0.08,19.577102883181695,97.4454360060843,2,1,0,0,133.62999999999988,18.99999999999997,0,0
0.08,20.727890786821852,96.45084450981199,2,1,0,0,119.31999999999988,15.999999999999972,0,0
0.08,20.965212944177683,95.39087553111419,2,1,0,0,105.00999999999982,12.999999999999972,0,0
0.08,22.370888557074885,94.80235214988126,2,1,0,0,90.69999999999987,9.999999999999972,0,0
0.08,20.618624616599185,93.93362354486686,2,1,0,0,76.38999999999987,6.999999999999972,0,0
0.08,21.008493010178917,92.90916583617326,2,1,0,0,62.07999999999987,3.9999999999999716,0,0
0.08,20.797315919806834,92.49425597232825,2,1,0,0,47.76999999999987,0.9999999999999716,0,0
0.10,20.155815265856155,91.27026919108809,2,1,0,0,43,0.0,0,0
0.10,18.215629313027026,91.0002372216925,2,1,0,0,57.31,3.0,0,0
0.10,18.239241501335094,91.60475191158925,2,1,0,0,71.62,6.0,0,0
0.10,19.583825069446803,92.18496239337654,2,1,0,0,85.93,9.0,0,0
0.10,20.262163671257053,92.73750819876015,2,1,0,0,100.24000000000001,12.0,0,0
0.10,19.462872852204192,92.69250278356802,2,1,0,0,114.55000000000001,15.0,0,0
0.10,19.149210266161322,92.66562361052165,2,1,0,0,128.86,18.0,0,0
0.10,20.769459277193494,92.6938607975123,2,1,0,0,143.16999999999996,21.0,0,0
0.10,21.20878135687296,93.2688557892123,2,1,0,0,157.48000000000002,24.0,0,0
0.10,21.905805515754714,93.92315216009496,2,1,0,0,171.79000000000002,27.0,0,0
0.12,22.899470028183096,94.05096239865304,2,1,0,0,186.10000000000002,30.0,0,0
0.12,22.877145067676413,94.27569461851411,2,1,0,0,200.40999999999997,33.0,0,0
0.12,21.21104490719025,94.42062028109946,2,1,0,0,214.71999999999997,36.0,0,0
0.12,20.685484657535177,95.31524267278937,2,1,0,0,229.03000000000003,39.0,0,0
0.12,21.19150567417501,95.16125475632253,2,1,0,0,243.34000000000003,42.00000000000001,0,0
0.12,20.074615332698873,95.26417982203425,2,1,0,0,257.65000000000003,45.00000000000001,0,0
0.12,18.312046137994454,95.42250619416644,2,1,0,0,271.96000000000004,48.00000000000001,0,0
0.12,18,96.43461645589905,2,1,0,0,286.27000000000004,51.00000000000001,0,0
0.12,18.76858344026013,97.75541991432254,2,1,0,0,300.58000000000004,54.00000000000001,0,0
0.12,18.70587161261322,99.05046607205433,2,1,0,0,314.89000000000004,57.000000000000014,0,0
0.13,19.722915691118224,99.92202052225139,2,1,0,0,329.20000000000005,60.00000000000001,0,0
0.13,19.789707649877222,100.3602354059342,2,1,0,0,343.51,63.0,0,0
0.13,18.414284789354554,100.66232359070088,2,1,0,0,357.82,66.0,0,0
0.13,18,101.5296495245398,2,1,0,0,372.13,69.0,0,0
0.13,19.312608024646988,102.08880669425804,2,1,0,0,386.44,72.0,0,0
0.13,18.481164504956688,102.72515179351332,2,1,0,0,400.75,75.0,0,0
0.13,18.070610382088976,103.46633138569673,2,1,0,0,415.06,78.0,0,0
0.13,18,103.97571653485006,2,1,0,0,429.37,81.0,0,0
0.13,19.34127033054987,104.44294400592246,3,1,0,0,443.68,84.0,0,0
0.13,19.098701175008415,104.98440053814738,3,1,0,0,457.99,87.0,0,0
0.15,19.587379928164243,105.56250705517098,4,1,0,0,472.3,90.0,0,0
0.15,18,105.74033530641412,4,1,0,0,486.61,93.0,0,0
0.15,18,106.31744276892641,4,1,0,0,500.92,96.0,0,0
0.15,18.19940001780031,107.14744431262925,4,1,0,0,515.23,99.0,0,0
0.15,8.571428571428571,107.89755926997859,4,1,0,0,520,100.0,0,0
0.15,8.571428571428571,107.3781826183395,4,1,0,0,505.69,97.0,0,0
0.15,8.571428571428571,107.16330237713088,4,1,0,0,491.38,94.0,0,0
0.15,8.571428571428571,106.68575635639318,4,1,0,0,477.07,91.0,0,0
0.15,8.571428571428571,106.0384931471636,4,1,0,0,462.76,88.0,0,0
0.15,8.571428571428571,105.78847840337896,4,1,0,0,448.45,85.0,0,0
0.17,8.571428571428571,105.18867024004243,4,1,0,0,434.14,82.0,0,0
0.17,8.571428571428571,104.88361192384161,4,1,0,0,419.83,79.0,0,0
0.17,8.571428571428571,104.21779545837396,4,1,0,0,405.52,76.0,0,0
0.17,8.571428571428571,103.65220165948965,4,1,0,0,391.21,73.0,0,0
0.17,8.571428571428571,102.89176649997432,4,1,0,0,376.9,70.0,0,0
0.17,8.571428571428571,102.4117891396884,4,1,0,0,362.59000000000003,67.0,0,0
0.17,8.571428571428571,102.03938181979409,4,1,0,0,348.28,63.99999999999999,0,0
0.17,8.571428571428571,101.56920199093851,4,1,0,0,333.96999999999997,60.99999999999999,0,0
0.17,8.571428571428571,101.13913411655848,4,1,0,0,319.65999999999997,57.99999999999999,0,0
0.17,8.571428571428571,100.34911375355087,4,1,0,0,305.34999999999997,54.99999999999999,0,0
0.18,8.571428571428571,99.76150887189677,4,1,0,0,291.03999999999996,51.99999999999999,0,0
0.18,8.571428571428571,99.40400832978817,4,1,0,0,276.7299999999999,48.99999999999998,0,0
0.18,8.571428571428571,98.81794033819645,4,1,0,0,262.4199999999999,45.99999999999997,0,0
0.18,8.571428571428571,98.18178223582368,4,1,0,0,248.10999999999984,42.99999999999997,0,0
0.18,8.571428571428571,97.88372643153372,4,1,0,0,233.79999999999984,39.99999999999997,0,0
0.18,8.571428571428571,97.15259906498264,4,1,0,0,219.48999999999984,36.999999999999964,0,0
0.18,8.571428571428571,96.9576712743112,4,1,0,0,205.1799999999999,33.99999999999997,0,0
0.18,8.571428571428571,96.78031093658224,4,1,0,0,190.8699999999999,30.99999999999997,0,0
0.18,8.571428571428571,96.32776601535768,4,1,0,0,176.55999999999983,27.99999999999997,0,0
