Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,100.24000000000001,12.0,0,0
0.00,24.16284759580179,126.18766912788756,0,0,0,0,114.55000000000001,15.0,0,0
0.00,24.123647501551023,122.10272984227095,0,0,0,0,128.86,18.0,0,0
0.00,24.736060006669657,110.06858504808653,0,0,0,0,143.16999999999996,21.0,0,0
0.00,25.7598978159814,113.57612885577296,0,0,0,0,157.48000000000002,24.0,0,0
0.00,27.67560763538134,112.53603274070633,0,0,0,0,171.79000000000002,27.0,0,0
0.00,28.15760688772481,111.3002187022153,0,0,0,0,186.10000000000002,30.0,0,0
0.00,27.009030780133077,112.57169602582543,0,0,0,0,200.40999999999997,33.0,0,0
0.00,26.908689664071947,108.91581052071383,0,0,0,0,214.71999999999997,36.0,0,0
0.00,28.18281868978143,107.18434857355331,0,0,0,0,229.03000000000003,39.0,0,0
0.02,26.830270569963226,106.83180850577459,0,0,0,0,243.34000000000003,42.00000000000001,0,0
0.02,27.27999527765289,109.85851942830006,0,0,0,0,257.65000000000003,45.00000000000001,0,0
0.02,26.388214306853456,110.63170451521016,0,0,0,0,271.96000000000004,48.00000000000001,0,0
0.02,26.343764665141787,112.31929857124109,0,0,0,0,286.27000000000004,51.00000000000001,0,0
0.02,24.78114100646997,115.95408434274994,0,0,0,0,300.58000000000004,54.00000000000001,0,0
0.02,26.446589159654206,116.25431260455213,0,0,0,0,314.89000000000004,57.000000000000014,0,0
0.02,25.907373440425587,116.79707066207186,0,0,0,0,329.20000000000005,60.00000000000001,0,0
0.02,25.474331063484897,118.76031302832729,0,0,0,0,343.51,63.0,0,0
0.02,27.311687305814374,123.15587102734327,0,0,0,0,357.82,66.0,0,0
0.02,27.072883444280755,125.89128839134999,0,0,0,0,372.13,69.0,0,0
0.03,26.609633967053547,128.78472891869703,0,0,0,0,386.44,72.0,0,0
0.03,26.332229505435734,129.42201569678343,0,0,0,0,400.75,75.0,0,0
0.03,24.99367332617839,130.71333859888057,0,0,0,0,415.06,78.0,0,0
0.03,25.862299563615636,132.45778974170938,0,0,0,0,429.37,81.0,0,0
0.03,26.07327787283387,132.47308143933103,0,0,0,0,443.68,84.0,0,0
0.03,25.420035334543435,134.28789915981204,0,0,0,0,457.99,87.0,0,0
0.03,26.76341474290958,133.91081284831841,0,0,0,0,472.3,90.0,0,0
0.03,28.042181353059835,134.13071111881854,0,0,0,0,486.61,93.0,0,0
0.03,28.59343664392639,136.90331741402866,0,0,0,0,500.92,96.0,0,0
0.03,28.66133517117821,138.76955971214926,0,0,0,0,515.23,99.0,0,0
0.05,28.530170687149877,139.45242729408594,0,0,0,0,520,100.0,0,0
0.05,27.26055564749219,135.59719315392198,0,0,0,0,505.69,97.0,0,0
0.05,25.86394674479582,133.97105759714762,0,0,0,0,491.38,94.0,0,0
0.05,27.771167085038574,131.81779084831985,0,0,0,0,477.07,91.0,0,0
0.05,29.68800222263659,129.10536122578148,0,0,0,0,462.76,88.0,0,0
0.05,29.172423418966453,127.19200325617501,0,0,0,0,448.45,85.0,0,0
0.05,29.097712731188764,125.46827548230108,0,0,0,0,434.14,82.0,0,0
0.05,29.8449306199191,123.30870157943708,0,0,0,0,419.83,79.0,0,0
0.05,31.03537012127559,121.3928057136233,0,0,0,0,405.52,76.0,0,0
0.05,32.87048882869786,118.82947564305846,0,0,0,0,391.21,73.0,0,0
0.07,34.29324343888039,116.39219074857682,0,0,0,0,376.9,70.0,0,0
0.07,33.437867857423434,115.18735428298953,1,0,0,0,362.59000000000003,67.0,0,0
0.07,34.10279919023009,114.51300505739331,1,0,0,0,348.28,63.99999999999999,0,0
0.07,35,113.04468160246479,1,0,0,0,333.96999999999997,60.99999999999999,0,0
0.07,34.34279535715092,111.57752748511801,1,0,0,0,319.65999999999997,57.99999999999999,0,0
0.07,32.99692671413261,109.57693549093968,1,0,0,0,305.34999999999997,54.99999999999999,0,0
0.07,31.28152773601554,107.87874058757237,2,0,0,0,291.03999999999996,51.99999999999999,0,0
0.07,31.634816905446975,106.24288415058417,2,0,0,0,276.7299999999999,48.99999999999998,0,0
0.07,31.395199562774682,105.0669039291529,2,0,0,0,262.4199999999999,45.99999999999997,0,0
0.07,30.999485309808335,104.47725213496406,2,0,0,0,248.10999999999984,42.99999999999997,0,0
0.08,32.94683459888782,103.23825142558918,2,0,0,0,233.79999999999984,39.99999999999997,0,0
0.08,32.84923077277631,101.72188645358499,2,0,0,0,219.48999999999984,36.999999999999964,0,0
0.08,31.94907104621081,100.83683510784545,2,0,0,0,205.1799999999999,33.99999999999997,0,0
0.08,32.032120349938374,99.85937381605494,2,0,0,0,190.8699999999999,30.99999999999997,0,0
0.08,31.152528408797423,99.24101448702824,2,0,0,0,176.55999999999983,27.99999999999997,0,0
0.08,30.756541494981086,98.53607553150725,2,0,0,0,162.24999999999983,24.99999999999997,0,0
0.08,31.661373870279473,98.16037446855186,2,0,0,0,147.93999999999988,21.99999999999997,0,0
0.08,32.96714434751709,97.77730039626613,2,0,0,0,133.62999999999988,18.99999999999997,0,0
0.08,33.5067549514216,96.30969526665893,2,0,0,0,119.31999999999988,15.999999999999972,0,0
0.08,32.68079969266053,95.36402998594461,2,0,0,0,105.00999999999982,12.999999999999972,0,0
0.10,31.229241200837492,94.57431936749377,2,0,0,0,90.69999999999987,9.999999999999972,0,0
0.10,30.53244409577956,93.44379910205197,2,0,0,0,76.38999999999987,6.999999999999972,0,0
0.10,30.40188456271097,92.53577229984484,2,0,0,0,62.07999999999987,3.9999999999999716,0,0
0.10,31.780678495861178,92.48039028302767,2,0,0,0,47.76999999999987,0.9999999999999716,0,0
0.10,29.830051964806714,91.63672277249746,2,0,0,0,43,0.0,0,0
0.10,29.970617278253613,92.36776391129544,2,0,0,0,57.31,3.0,0,0
