time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
1.253,628.79,548.81,press,100.00
2.940,82.91,103.32,release,100.00
4.634,587.33,548.81,press,100.00
6.391,95.80,103.32,release,100.00
7.850,603.76,548.81,press,100.00
9.473,120.01,103.32,release,100.00
10.900,548.30,548.81,press,100.00
12.423,185.18,103.32,release,100.00
14.172,587.48,548.81,press,100.00
15.919,87.49,103.32,release,100.00
17.459,530.93,548.81,press,100.00
19.316,58.63,103.32,release,100.00
20.969,612.86,548.81,press,100.00
22.727,95.78,103.32,release,100.00
24.257,568.98,548.81,press,100.00
25.980,76.80,103.32,release,100.00
27.624,701.22,548.81,press,4.37
29.180,111.05,103.32,release,100.00
30.514,624.27,548.81,press,100.00
32.012,119.37,103.32,release,100.00
33.547,556.00,548.81,press,100.00
35.286,122.47,103.32,release,100.00
36.742,576.72,548.81,press,100.00
38.402,100.05,103.32,release,100.00
39.843,611.66,548.81,press,100.00
41.363,83.71,103.32,release,100.00
43.098,658.62,548.81,press,44.98
44.560,55.51,103.32,release,100.00
45.940,624.91,548.81,press,100.00
47.361,68.24,103.32,release,100.00
48.820,673.03,548.81,press,25.86
50.099,131.14,103.32,release,100.00
51.632,562.60,548.81,press,100.00
52.620,430.46,103.32,release,0.00
54.798,669.36,548.81,press,29.78
56.347,66.43,103.32,release,100.00
57.900,644.29,548.81,press,100.00
59.421,51.91,103.32,release,100.00
60.834,630.49,548.81,press,100.00
62.583,30.27,103.32,release,100.00
64.000,635.48,548.81,press,100.00
65.651,16.41,103.32,release,100.00
67.269,688.94,548.81,press,12.43
68.723,9.49,103.32,release,100.00
70.221,683.40,548.81,press,16.62
71.573,126.46,103.32,release,100.00
73.402,685.50,548.81,press,14.98
75.039,23.99,103.32,release,100.00
76.576,680.34,548.81,press,19.13
78.006,46.09,103.32,release,100.00
79.536,640.13,548.81,press,100.00
80.948,52.72,103.32,release,100.00
82.382,635.96,548.81,press,100.00
83.804,55.48,103.32,release,100.00
85.216,536.78,548.81,press,100.00
86.790,148.76,103.32,release,100.00
88.278,585.53,548.81,press,100.00
89.847,72.97,103.32,release,100.00
91.165,519.30,548.81,press,100.00
92.862,52.49,103.32,release,100.00
94.387,672.72,548.81,press,26.18
95.702,115.62,103.32,release,100.00
97.261,594.61,548.81,press,100.00
98.787,57.80,103.32,release,100.00
99.996,526.27,548.81,press,100.00
101.444,133.90,103.32,release,100.00
102.945,690.02,548.81,press,11.66
104.370,95.43,103.32,release,100.00
105.693,600.80,548.81,press,100.00
107.124,130.91,103.32,release,100.00
108.622,617.30,548.81,press,100.00
110.032,111.47,103.32,release,100.00
111.455,639.66,548.81,press,100.00
112.874,142.02,103.32,release,100.00
114.412,598.55,548.81,press,100.00
115.830,79.62,103.32,release,100.00
117.028,459.35,548.81,press,100.00
117.062,459.35,103.32,release,0.00
118.169,656.49,548.81,press,49.24
118.920,107.90,103.32,release,100.00
120.223,648.87,548.81,press,89.43
