time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
2.913,607.61,496.29,press,22.66
4.796,119.47,95.44,release,100.00
6.401,511.36,496.29,press,100.00
8.365,138.35,95.44,release,100.00
9.890,570.88,496.29,press,62.55
11.637,123.43,95.44,release,100.00
13.061,561.59,496.29,press,100.00
14.518,88.22,95.44,release,100.00
16.263,572.19,496.29,press,59.33
17.906,50.21,95.44,release,100.00
19.540,590.48,496.29,press,35.18
21.194,34.54,95.44,release,100.00
22.718,596.60,496.29,press,30.18
24.351,71.94,95.44,release,100.00
25.568,488.76,496.29,press,100.00
27.452,99.44,95.44,release,100.00
28.850,637.56,496.29,press,7.41
30.391,103.22,95.44,release,100.00
31.805,594.87,496.29,press,31.52
33.336,112.54,95.44,release,100.00
34.768,600.87,496.29,press,27.07
36.415,104.61,95.44,release,100.00
37.828,603.88,496.29,press,25.04
39.142,148.32,95.44,release,100.00
40.786,621.13,496.29,press,15.09
42.349,84.46,95.44,release,100.00
43.638,590.38,496.29,press,35.28
45.171,109.35,95.44,release,100.00
46.708,597.11,496.29,press,29.79
48.353,91.55,95.44,release,100.00
49.649,568.04,496.29,press,72.80
51.298,95.64,95.44,release,100.00
52.617,566.28,496.29,press,100.00
54.249,148.66,95.44,release,100.00
55.455,544.46,496.29,press,100.00
57.193,110.12,95.44,release,100.00
58.606,567.08,496.29,press,79.09
60.157,112.93,95.44,release,100.00
61.365,536.67,496.29,press,100.00
62.995,97.31,95.44,release,100.00
64.228,510.40,496.29,press,100.00
65.627,185.32,95.44,release,39.24
67.156,528.53,496.29,press,100.00
68.777,129.82,95.44,release,100.00
70.097,533.22,496.29,press,100.00
71.661,121.81,95.44,release,100.00
73.058,535.31,496.29,press,100.00
74.682,77.38,95.44,release,100.00
75.997,510.59,496.29,press,100.00
77.545,120.66,95.44,release,100.00
78.839,578.48,496.29,press,48.31
80.263,90.97,95.44,release,100.00
81.464,504.26,496.29,press,100.00
83.214,108.75,95.44,release,100.00
84.639,446.79,496.29,press,100.00
86.731,89.79,95.44,release,100.00
88.046,507.95,496.29,press,100.00
89.786,83.00,95.44,release,100.00
91.206,529.20,496.29,press,100.00
92.839,87.11,95.44,release,100.00
94.305,534.89,496.29,press,100.00
95.906,88.48,95.44,release,100.00
97.365,547.87,496.29,press,100.00
98.827,129.41,95.44,release,100.00
100.315,542.82,496.29,press,100.00
101.863,90.74,95.44,release,100.00
103.386,568.82,496.29,press,69.26
105.031,111.06,95.44,release,100.00
