time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
1.483,1030.03,640.48,press,0.00
1.645,1031.90,117.07,release,0.00
12.544,900.88,640.48,press,0.00
15.276,974.54,117.07,release,0.00
18.998,978.41,640.48,press,0.00
20.449,22.07,117.07,release,100.00
20.573,1.01,640.48,press,0.00
20.638,0.00,117.07,release,33.95
22.755,939.42,640.48,press,0.00
25.126,498.55,117.07,release,0.00
25.780,1006.08,640.48,press,0.00
27.771,117.08,117.07,release,100.00
28.859,995.82,640.48,press,0.00
31.381,486.64,117.07,release,0.00
32.244,1019.15,640.48,press,0.00
34.160,87.63,117.07,release,100.00
35.093,675.50,640.48,press,100.00
37.398,1.53,117.07,release,35.97
38.812,885.79,640.48,press,0.00
40.612,11.71,117.07,release,54.92
42.020,833.13,640.48,press,0.00
43.927,5.74,117.07,release,42.31
45.322,949.13,640.48,press,0.00
47.512,307.01,117.07,release,0.00
48.304,995.51,640.48,press,0.00
50.033,40.79,117.07,release,100.00
51.122,840.91,640.48,press,0.00
52.991,31.57,117.07,release,100.00
54.182,827.08,640.48,press,0.00
56.053,28.05,117.07,release,100.00
57.247,933.66,640.48,press,0.00
59.118,67.69,117.07,release,100.00
60.103,816.66,640.48,press,0.00
62.178,120.67,117.07,release,100.00
63.147,877.49,640.48,press,0.00
64.904,5.34,117.07,release,41.64
66.309,1010.55,640.48,press,0.00
67.891,25.95,117.07,release,100.00
68.858,637.64,640.48,press,100.00
71.261,159.22,117.07,release,100.00
73.357,983.12,640.48,press,0.00
75.198,98.39,117.07,release,100.00
76.518,790.85,640.48,press,5.61
78.604,35.67,117.07,release,100.00
80.116,768.76,640.48,press,21.98
82.319,46.96,117.07,release,100.00
83.628,822.75,640.48,press,0.00
85.700,68.08,117.07,release,100.00
87.062,772.55,640.48,press,18.68
89.204,59.00,117.07,release,100.00
90.430,673.09,640.48,press,100.00
92.698,50.67,117.07,release,100.00
94.242,759.55,640.48,press,31.49
96.245,60.08,117.07,release,100.00
97.731,768.87,640.48,press,21.88
99.910,61.07,117.07,release,100.00
101.131,718.33,640.48,press,100.00
103.308,56.95,117.07,release,100.00
104.578,703.23,640.48,press,100.00
106.759,70.59,117.07,release,100.00
107.918,731.58,640.48,press,100.00
109.993,70.87,117.07,release,100.00
111.326,801.32,640.48,press,0.00
114.083,336.85,117.07,release,0.00
114.838,856.65,640.48,press,0.00
116.949,78.27,117.07,release,100.00
118.260,734.61,640.48,press,100.00
120.452,60.02,117.07,release,100.00
121.841,854.82,640.48,press,0.00
123.801,74.92,117.07,release,100.00
125.328,887.11,640.48,press,0.00
127.625,159.06,117.07,release,100.00
128.647,771.95,640.48,press,19.18
130.684,65.89,117.07,release,100.00
132.318,862.18,640.48,press,0.00
134.226,74.50,117.07,release,100.00
135.549,771.91,640.48,press,19.21
137.577,75.85,117.07,release,100.00
138.780,724.46,640.48,press,100.00
140.962,65.03,117.07,release,100.00
142.128,714.45,640.48,press,100.00
144.047,59.99,117.07,release,100.00
145.469,746.75,640.48,press,52.53
147.550,67.98,117.07,release,100.00
148.852,774.43,640.48,press,17.13
150.929,55.43,117.07,release,100.00
152.187,693.89,640.48,press,100.00
154.543,68.84,117.07,release,100.00
155.757,876.32,640.48,press,0.00
157.737,64.54,117.07,release,100.00
159.059,829.58,640.48,press,0.00
161.164,82.36,117.07,release,100.00
162.484,794.31,640.48,press,3.52
164.611,72.94,117.07,release,100.00
165.770,829.91,640.48,press,0.00
167.667,76.48,117.07,release,100.00
168.975,641.49,640.48,press,100.00
171.127,65.78,117.07,release,100.00
172.233,712.15,640.48,press,100.00
174.175,79.98,117.07,release,100.00
175.603,764.69,640.48,press,25.88
177.691,67.08,117.07,release,100.00
179.144,809.04,640.48,press,0.00
181.190,76.25,117.07,release,100.00
182.708,820.83,640.48,press,0.00
183.911,902.16,117.07,release,0.00
