time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
2.377,790.17,582.79,press,0.00
3.446,102.93,108.42,release,100.00
4.647,777.77,582.79,press,0.00
5.751,50.19,108.42,release,100.00
7.164,867.08,582.79,press,0.00
8.047,257.54,108.42,release,4.16
9.897,827.72,582.79,press,0.00
11.090,122.05,108.42,release,100.00
12.626,767.32,582.79,press,0.00
14.036,43.72,108.42,release,100.00
15.263,747.63,582.79,press,0.00
16.522,135.34,108.42,release,100.00
18.020,839.48,582.79,press,0.00
19.212,110.12,108.42,release,100.00
20.580,787.60,582.79,press,0.00
21.769,142.36,108.42,release,100.00
23.159,718.50,582.79,press,9.86
24.477,61.89,108.42,release,100.00
25.669,669.95,582.79,press,42.12
26.267,896.22,108.42,release,0.00
