time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
1.465,1075.32,510.27,press,0.00
2.814,40.67,97.54,release,100.00
4.345,668.08,510.27,press,1.22
5.661,0.00,97.54,release,100.00
6.867,682.71,510.27,press,0.00
8.072,4.61,97.54,release,100.00
9.258,684.67,510.27,press,0.00
9.599,814.76,97.54,release,0.00
11.647,530.20,510.27,press,100.00
13.043,124.00,97.54,release,100.00
14.274,763.58,510.27,press,0.00
15.471,99.55,97.54,release,100.00
16.671,694.56,510.27,press,0.00
17.987,117.75,97.54,release,100.00
19.184,645.26,510.27,press,16.30
20.631,100.04,97.54,release,100.00
21.621,574.14,510.27,press,100.00
23.081,106.23,97.54,release,100.00
24.151,590.98,510.27,press,100.00
25.553,56.44,97.54,release,100.00
26.864,750.92,510.27,press,0.00
28.180,108.27,97.54,release,100.00
29.278,587.47,510.27,press,100.00
30.810,99.66,97.54,release,100.00
31.898,646.17,510.27,press,15.59
33.417,103.37,97.54,release,100.00
34.521,654.35,510.27,press,9.67
35.944,96.18,97.54,release,100.00
36.930,563.77,510.27,press,100.00
38.573,94.44,97.54,release,100.00
39.423,613.54,510.27,press,61.71
40.874,88.15,97.54,release,100.00
41.947,611.98,510.27,press,69.08
43.398,95.17,97.54,release,100.00
44.572,690.43,510.27,press,0.00
45.887,100.08,97.54,release,100.00
47.087,801.95,510.27,press,0.00
48.303,115.80,97.54,release,100.00
49.503,745.30,510.27,press,0.00
50.729,114.05,97.54,release,100.00
51.901,704.02,510.27,press,0.00
53.219,93.35,97.54,release,100.00
54.088,600.50,510.27,press,100.00
55.521,90.98,97.54,release,100.00
56.395,620.98,510.27,press,43.37
57.726,101.67,97.54,release,100.00
58.583,483.62,510.27,press,100.00
60.101,91.96,97.54,release,100.00
61.011,650.53,510.27,press,12.34
62.419,96.48,97.54,release,100.00
63.164,508.63,510.27,press,100.00
64.713,85.87,97.54,release,100.00
65.698,624.69,510.27,press,37.53
67.137,105.84,97.54,release,100.00
68.313,674.10,510.27,press,0.00
69.738,69.32,97.54,release,100.00
70.723,668.18,510.27,press,1.16
72.163,86.55,97.54,release,100.00
73.165,617.82,510.27,press,49.54
74.772,67.41,97.54,release,100.00
75.765,660.41,510.27,press,5.75
77.299,63.24,97.54,release,100.00
78.085,549.08,510.27,press,100.00
79.630,90.37,97.54,release,100.00
80.690,714.98,510.27,press,0.00
82.022,92.69,97.54,release,100.00
83.101,623.33,510.27,press,39.54
84.620,87.50,97.54,release,100.00
85.735,591.76,510.27,press,100.00
87.258,90.85,97.54,release,100.00
88.465,592.66,510.27,press,100.00
90.008,95.22,97.54,release,100.00
91.207,693.45,510.27,press,0.00
92.636,81.59,97.54,release,100.00
93.849,676.87,510.27,press,0.00
95.370,88.83,97.54,release,100.00
96.250,525.92,510.27,press,100.00
97.886,94.09,97.54,release,100.00
98.973,620.66,510.27,press,43.94
100.497,91.81,97.54,release,100.00
101.481,645.14,510.27,press,16.40
103.079,65.07,97.54,release,100.00
104.081,653.17,510.27,press,10.48
105.584,94.59,97.54,release,100.00
106.671,650.85,510.27,press,12.10
108.227,83.67,97.54,release,100.00
109.293,642.52,510.27,press,18.52
110.821,69.37,97.54,release,100.00
111.837,622.48,510.27,press,40.86
113.453,86.57,97.54,release,100.00
114.767,545.83,510.27,press,100.00
115.218,822.56,97.54,release,0.00
118.288,668.86,510.27,press,0.78
120.160,38.25,97.54,release,100.00
121.345,610.99,510.27,press,76.72
122.665,738.84,97.54,release,0.00
