time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
3.014,629.90,623.24,press,100.00
4.425,71.66,114.49,release,100.00
5.545,437.37,623.24,press,0.00
5.745,582.02,114.49,release,0.00
6.400,401.84,623.24,press,0.00
6.555,281.30,114.49,release,0.00
7.727,510.16,623.24,press,100.00
9.153,65.18,114.49,release,100.00
10.473,661.38,623.24,press,100.00
11.544,65.46,114.49,release,100.00
12.638,580.61,623.24,press,100.00
13.866,66.54,114.49,release,100.00
15.035,610.13,623.24,press,100.00
16.139,53.57,114.49,release,100.00
17.226,658.03,623.24,press,100.00
18.233,42.20,114.49,release,100.00
19.635,663.87,623.24,press,100.00
20.525,4.83,114.49,release,100.00
21.709,640.64,623.24,press,100.00
22.815,16.13,114.49,release,100.00
24.013,671.25,623.24,press,100.00
25.012,66.07,114.49,release,100.00
26.209,692.96,623.24,press,100.00
27.284,141.83,114.49,release,100.00
27.963,624.87,623.24,press,100.00
28.958,61.27,114.49,release,100.00
30.179,483.11,623.24,press,20.27
32.449,683.95,114.49,release,0.00
