time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
2.022,219.65,623.24,press,0.00
3.012,28.01,114.49,release,42.89
4.887,759.10,623.24,press,9.80
6.736,16.54,114.49,release,32.02
9.052,724.47,623.24,press,29.49
10.700,53.72,114.49,release,100.00
13.000,674.44,623.24,press,100.00
14.729,68.24,114.49,release,100.00
16.916,663.01,623.24,press,100.00
18.784,27.93,114.49,release,42.80
20.855,663.21,623.24,press,100.00
22.610,36.69,114.49,release,55.39
25.148,707.89,623.24,press,45.07
26.986,20.04,114.49,release,34.96
28.944,736.43,623.24,press,21.52
30.823,15.15,114.49,release,30.92
32.889,752.61,623.24,press,12.83
34.640,19.61,114.49,release,34.58
36.736,752.31,623.24,press,12.98
38.260,46.42,114.49,release,100.00
40.438,752.74,623.24,press,12.77
41.955,23.36,114.49,release,38.01
44.063,775.21,623.24,press,3.04
45.610,4.95,114.49,release,23.77
47.593,787.26,623.24,press,0.00
49.266,18.20,114.49,release,33.37
51.117,758.90,623.24,press,9.88
52.689,62.15,114.49,release,100.00
54.643,742.27,623.24,press,18.16
56.269,41.37,114.49,release,67.05
58.239,737.08,623.24,press,21.13
59.795,47.12,114.49,release,100.00
61.649,711.99,623.24,press,40.41
63.297,70.00,114.49,release,100.00
65.388,758.48,623.24,press,10.08
67.039,43.42,114.49,release,76.89
68.788,716.03,623.24,press,36.45
70.640,56.55,114.49,release,100.00
72.510,819.77,623.24,press,0.00
74.173,37.10,114.49,release,56.17
76.054,830.42,623.24,press,0.00
77.576,29.12,114.49,release,44.19
79.222,757.85,623.24,press,10.37
80.969,21.55,114.49,release,36.31
82.605,808.24,623.24,press,0.00
84.140,51.39,114.49,release,100.00
85.882,788.25,623.24,press,0.00
87.554,60.13,114.49,release,100.00
89.389,790.75,623.24,press,0.00
91.163,64.36,114.49,release,100.00
92.909,786.96,623.24,press,0.00
94.757,75.17,114.49,release,100.00
96.721,825.66,623.24,press,0.00
98.141,19.73,114.49,release,34.69
100.132,848.17,623.24,press,0.00
101.576,29.55,114.49,release,44.72
103.424,802.75,623.24,press,0.00
105.193,59.81,114.49,release,100.00
107.245,911.51,623.24,press,0.00
108.814,62.05,114.49,release,100.00
110.689,795.83,623.24,press,0.00
112.513,34.81,114.49,release,52.09
114.150,782.42,623.24,press,0.30
115.805,45.20,114.49,release,100.00
117.569,773.02,623.24,press,3.90
119.195,45.49,114.49,release,100.00
120.950,735.03,623.24,press,22.37
122.794,12.11,114.49,release,28.64
