time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
3.575,7.07,539.97,press,0.00
3.719,15.85,102.00,release,100.00
5.155,693.18,539.97,press,3.89
6.740,5.92,102.00,release,100.00
8.052,748.66,539.97,press,0.00
9.587,8.41,102.00,release,100.00
11.001,749.45,539.97,press,0.00
12.650,8.60,102.00,release,100.00
14.180,739.75,539.97,press,0.00
15.826,4.09,102.00,release,100.00
17.186,717.57,539.97,press,0.00
18.888,0.00,102.00,release,67.47
20.206,764.86,539.97,press,0.00
21.992,20.27,102.00,release,100.00
22.966,768.75,539.97,press,0.00
24.713,64.03,102.00,release,100.00
25.818,796.01,539.97,press,0.00
27.555,25.94,102.00,release,100.00
28.691,765.02,539.97,press,0.00
30.401,13.97,102.00,release,100.00
31.494,744.43,539.97,press,0.00
33.134,0.92,102.00,release,73.50
34.443,754.92,539.97,press,0.00
36.005,0.00,102.00,release,67.47
37.201,720.64,539.97,press,0.00
38.839,0.97,102.00,release,73.85
40.057,679.12,539.97,press,13.14
41.890,50.47,102.00,release,100.00
42.316,324.56,539.97,press,0.00
42.425,408.27,102.00,release,0.00
43.091,785.81,539.97,press,0.00
44.739,34.40,102.00,release,100.00
45.938,808.51,539.97,press,0.00
47.487,0.82,102.00,release,72.70
48.792,830.04,539.97,press,0.00
50.442,57.21,102.00,release,100.00
51.434,742.03,539.97,press,0.00
53.085,7.35,102.00,release,100.00
54.378,827.78,539.97,press,0.00
55.916,12.00,102.00,release,100.00
57.115,801.58,539.97,press,0.00
58.788,35.55,102.00,release,100.00
60.118,862.08,539.97,press,0.00
61.502,0.70,102.00,release,71.83
62.810,820.60,539.97,press,0.00
64.460,28.91,102.00,release,100.00
65.802,750.96,539.97,press,0.00
67.533,0.00,102.00,release,67.47
69.046,801.07,539.97,press,0.00
70.617,53.52,102.00,release,100.00
71.853,793.54,539.97,press,0.00
73.549,48.81,102.00,release,100.00
74.909,790.75,539.97,press,0.00
76.642,70.56,102.00,release,100.00
77.854,778.51,539.97,press,0.00
79.419,26.74,102.00,release,100.00
80.905,834.10,539.97,press,0.00
82.447,40.38,102.00,release,100.00
83.768,790.22,539.97,press,0.00
85.386,44.58,102.00,release,100.00
86.710,809.14,539.97,press,0.00
88.556,109.13,102.00,release,100.00
89.665,811.54,539.97,press,0.00
91.512,75.85,102.00,release,100.00
92.817,834.41,539.97,press,0.00
94.461,40.42,102.00,release,100.00
96.098,714.14,539.97,press,0.00
97.528,54.02,102.00,release,100.00
98.742,814.73,539.97,press,0.00
100.289,55.76,102.00,release,100.00
101.855,753.39,539.97,press,0.00
103.146,26.40,102.00,release,100.00
104.764,845.05,539.97,press,0.00
106.310,98.06,102.00,release,100.00
107.620,877.19,539.97,press,0.00
109.259,15.51,102.00,release,100.00
110.605,857.74,539.97,press,0.00
112.012,38.72,102.00,release,100.00
113.213,831.86,539.97,press,0.00
114.430,8.60,102.00,release,100.00
115.732,827.99,539.97,press,0.00
116.927,4.35,102.00,release,100.00
118.126,757.99,539.97,press,0.00
119.556,4.28,102.00,release,100.00
120.675,704.14,539.97,press,0.00
122.302,0.00,102.00,release,67.47
123.597,847.49,539.97,press,0.00
124.899,8.44,102.00,release,100.00
126.251,805.47,539.97,press,0.00
127.659,27.40,102.00,release,100.00
