time of button press,seat position of button event,expected seat position of button event,button event,accuracy score
3.886,760.33,590.84,press,0.00
4.648,486.47,109.63,release,0.00
7.923,482.38,590.84,press,47.61
10.313,708.96,109.63,release,0.00
11.450,744.95,590.84,press,3.35
13.527,347.50,109.63,release,0.00
14.651,766.32,590.84,press,0.00
16.675,322.51,109.63,release,0.00
17.463,803.45,590.84,press,0.00
19.907,251.42,109.63,release,11.25
21.053,800.06,590.84,press,0.00
22.700,123.52,109.63,release,100.00
24.461,779.36,590.84,press,0.00
27.290,93.14,109.63,release,100.00
28.948,768.58,590.84,press,0.00
30.690,82.56,109.63,release,100.00
31.890,753.45,590.84,press,0.00
33.841,109.64,109.63,release,100.00
35.177,822.43,590.84,press,0.00
36.730,102.34,109.63,release,100.00
38.476,459.18,590.84,press,19.02
39.333,94.38,109.63,release,100.00
40.704,826.13,590.84,press,0.00
42.289,103.29,109.63,release,100.00
43.624,806.86,590.84,press,0.00
44.823,69.74,109.63,release,100.00
45.969,742.99,590.84,press,4.52
47.988,134.68,109.63,release,100.00
49.209,819.26,590.84,press,0.00
50.657,89.89,109.63,release,100.00
51.964,838.69,590.84,press,0.00
53.793,153.83,109.63,release,100.00
55.014,775.60,590.84,press,0.00
56.632,147.57,109.63,release,100.00
57.855,812.88,590.84,press,0.00
59.387,84.46,109.63,release,100.00
60.459,765.62,590.84,press,0.00
62.328,97.77,109.63,release,100.00
63.213,713.41,590.84,press,27.57
65.210,93.74,109.63,release,100.00
66.537,805.62,590.84,press,0.00
67.690,81.04,109.63,release,100.00
69.447,780.43,590.84,press,0.00
70.803,102.40,109.63,release,100.00
70.864,116.25,590.84,press,0.00
71.226,363.16,109.63,release,0.00
72.288,721.89,590.84,press,19.53
73.824,207.44,109.63,release,100.00
75.001,812.60,590.84,press,0.00
76.664,188.85,109.63,release,100.00
77.796,823.82,590.84,press,0.00
79.550,172.93,109.63,release,100.00
80.505,835.36,590.84,press,0.00
82.353,139.03,109.63,release,100.00
83.554,833.42,590.84,press,0.00
85.108,114.92,109.63,release,100.00
86.416,863.01,590.84,press,0.00
88.051,228.76,109.63,release,31.42
89.475,546.90,590.84,press,100.00
90.902,319.98,109.63,release,0.00
92.091,659.91,590.84,press,100.00
93.543,238.43,109.63,release,21.51
94.712,760.47,590.84,press,0.00
96.136,115.82,109.63,release,100.00
97.338,826.66,590.84,press,0.00
99.093,248.08,109.63,release,13.65
100.182,820.83,590.84,press,0.00
101.722,81.28,109.63,release,100.00
102.912,829.46,590.84,press,0.00
104.773,223.30,109.63,release,38.62
105.779,818.32,590.84,press,0.00
107.657,273.63,109.63,release,0.00
108.504,836.74,590.84,press,0.00
110.384,153.15,109.63,release,100.00
111.256,800.61,590.84,press,0.00
113.232,188.37,109.63,release,100.00
114.249,807.74,590.84,press,0.00
116.060,107.40,109.63,release,100.00
117.268,831.01,590.84,press,0.00
118.917,97.76,109.63,release,100.00
120.223,802.39,590.84,press,0.00
