Date,Name,Total Time (min:sec),Average Power (W),Total Distance (m),Average Accuracy (%)
2025-11-19,aashir,0:15,24.31,4.33,0.00
2025-11-19,aashir,0:31,33.94,8.93,89.11
2025-11-19,aashir,0:01,15.01,0.20,0.00
2025-11-19,aashir,0:07,28.86,1.73,0.00
2025-11-19,aashir,0:00,11.94,0.09,0.00
2025-11-18,aashir,0:19,33.10,5.60,40.59
2025-11-17,aashir,0:22,34.09,6.34,72.31
2025-11-16,aashir,0:20,34.51,6.02,85.15


2025-11-19,aashir,0:03,23.74,0.65,0.00
2025-11-19,aashir,0:53,34.59,15.47,83.93
