Time Elapsed (min),Stroke Rate,Average Power,Score,Misses,Handle Force (ai20),Handle Position (ai21),Raw Seat Position (ai22),Converted Seat Position,Left Foot Force (ai16),Right Foot Force (ai18)
0.00,0,0,0,0,0,0,176.55999999999983,27.99999999999997,0,0
0.00,23.47264128205923,88.91297059937529,0,0,0,0,162.24999999999983,24.99999999999997,0,0
0.00,21.47478949338812,68.99017331337238,0,0,0,0,147.93999999999988,21.99999999999997,0,0
0.00,21.009678248711445,64.64959702970998,1,0,0,0,133.62999999999988,18.99999999999997,0,0
0.00,19.751361460407143,63.1831227930419,1,0,0,0,119.31999999999988,15.999999999999972,0,0
0.00,18.109347223669623,58.93379125204038,1,0,0,0,105.00999999999982,12.999999999999972,0,0
0.00,18,57.81441829987639,1,0,0,0,90.69999999999987,9.999999999999972,0,0
0.00,19.66911437114935,56.20997098231159,1,0,0,0,76.38999999999987,6.999999999999972,0,0
0.00,18,56.72236093530667,1,0,0,0,62.07999999999987,3.9999999999999716,0,0
0.00,19.518416544584895,56.07221169612374,1,0,0,0,47.76999999999987,0.9999999999999716,0,0
0.02,20.95902565723167,58.13379072777863,1,0,0,0,43,0.0,0,0
0.02,20.43612489353343,60.45872135122939,1,0,0,0,57.31,3.0,0,0
0.02,20.604667142291202,61.405636697741144,1,0,0,0,71.62,6.0,0,0
0.02,20.799845125694624,65.50283425289493,2,0,0,0,85.93,9.0,0,0
0.02,22.68858704428559,67.77450284768098,2,0,0,0,100.24000000000001,12.0,0,0
0.02,21.010354019584806,68.67525783426981,2,0,0,0,114.55000000000001,15.0,0,0
0.02,22.338113396401894,71.47700873526641,2,0,0,0,128.86,18.0,0,0
0.02,21.971319175272868,76.83531098185769,2,0,0,0,143.16999999999996,21.0,0,0
0.02,20.411264548888028,80.97179759486316,2,0,0,0,157.48000000000002,24.0,0,0
0.02,20.80444853957953,82.05872464178154,2,0,0,0,171.79000000000002,27.0,0,0
0.03,22.021414579516872,82.40801101552059,2,0,0,0,186.10000000000002,30.0,0,0
0.03,20.9010404600581,83.8926922809319,2,0,0,0,200.40999999999997,33.0,0,0
0.03,20.940431431194725,84.86375192373613,2,0,0,0,214.71999999999997,36.0,0,0
0.03,21.580180443272702,85.30679397520566,2,0,0,0,229.03000000000003,39.0,0,0
0.03,20.44980794785673,88.42447878987815,2,0,0,0,243.34000000000003,42.00000000000001,0,0
0.03,19.36146146413102,88.84196897552971,2,0,0,0,257.65000000000003,45.00000000000001,0,0
0.03,21.102356535702732,89.74283288782674,2,0,0,0,271.96000000000004,48.00000000000001,0,0
0.03,22.526692374970793,94.10951900911189,2,0,0,0,286.27000000000004,51.00000000000001,0,0
0.03,20.853049300270108,96.96637992828329,2,0,0,0,300.58000000000004,54.00000000000001,0,0
0.03,22.23693070681451,99.11417962408633,2,0,0,0,314.89000000000004,57.000000000000014,0,0
